Epoch,Train Loss,Validation Loss
1,0.0012764231912020978,0.0014405848137263595
2,0.001158030742201312,0.0014394376812310054
3,0.0010060079652687598,0.001449754731408481
4,0.0008590388015426438,0.0014672256749251793
5,0.0007631841790059517,0.001485307309134253
6,0.0007005915431113079,0.0014724862986597522
7,0.0006555223773265707,0.0015187328231745752
8,0.0006224385366357606,0.001505600840880953
9,0.0006013369637316671,0.0014396451156714867
10,0.0005883819841105362,0.001364487101291788
11,0.0005785764419826968,0.0013105166369471056
12,0.000570750853111004,0.0013103187598031143
13,0.0005628443612106915,0.0012975661405201617
14,0.0005558964892708022,0.0012859049028363721
15,0.0005489224632238519,0.0012712472985530721
16,0.0005418729872025292,0.0012564403229746324
17,0.0005336410976175604,0.0012395058212609127
18,0.0005256796319936884,0.001222940380203313
19,0.0005166256350689921,0.001198364254729501
20,0.0005062470405266203,0.0011721080747143975
21,0.000496363453567028,0.0011514158855224477
22,0.00048397205898474005,0.0011123806752007582
23,0.0004714744422456314,0.0010782056070607283
24,0.00045791973584684834,0.0010415234185498336
25,0.00044210039978397303,0.0010022679279590475
26,0.0004263068966824433,0.0009653766607416087
27,0.00040783808919890173,0.0009237936087723436
28,0.0003894525226847879,0.0008771185987982257
29,0.00036981319045198375,0.0008335689532345739
30,0.00034886388557738273,0.0007866502578916221
31,0.0003281404874448119,0.0007329477318401994
32,0.00030620708933164334,0.0006804906602563529
33,0.000284773053537155,0.0006217991868997442
34,0.00026293679557997605,0.0005693242724599509
35,0.00024090363676178045,0.0005169572115972125
36,0.00021924572707764033,0.0004716315017691974
37,0.00019928829359083341,0.00042114146053791047
38,0.0001788242944869502,0.00037079937756061553
39,0.00016057205161657827,0.00033176599134658943
40,0.00014279997457974943,0.0002947643078092871
41,0.00012679428408115075,0.00025787313051264864
42,0.0001124333847185661,0.0002239876844245812
43,9.945063562742596e-05,0.00019633732736110688
44,8.827962687817113e-05,0.00017578563299672356
45,7.853712244280454e-05,0.00015224839143198113
46,6.923104058308849e-05,0.00013971607489832516
47,6.182429717917894e-05,0.00012346851992709883
48,5.5511995090235924e-05,0.00011113134116448204
49,5.091053738804727e-05,9.743484572089951e-05
50,4.620268732180883e-05,8.894308823449858e-05
51,4.268079546505007e-05,8.013631731014827e-05
52,4.002865130916752e-05,7.377863893734998e-05
53,3.7339755237616345e-05,6.86657823750685e-05
54,3.531691537977293e-05,6.453335317301339e-05
55,3.348149415426727e-05,6.086839973155795e-05
56,3.246886230170213e-05,5.85293044047109e-05
57,3.130896346129734e-05,5.671946524546064e-05
58,3.054872805509588e-05,5.570427546727246e-05
59,2.9649581872569076e-05,5.353154967828044e-05
60,2.856615063702238e-05,5.0763002243535275e-05
61,2.7980112294056293e-05,5.0337781230437345e-05
62,2.7460832518107933e-05,4.8801031541721575e-05
63,2.6843779929110716e-05,4.659222342587751e-05
64,2.6652186402472957e-05,4.643128927925537e-05
65,2.5976772805483178e-05,4.6258196555848776e-05
66,2.558793960909905e-05,4.4916165543013605e-05
67,2.5114733404640492e-05,4.444418731948425e-05
68,2.5021328976185157e-05,4.3163609145016505e-05
69,2.461009305612794e-05,4.260277953641168e-05
70,2.4220073627757616e-05,4.327515108061248e-05
71,2.3996443808849516e-05,4.188411242874532e-05
72,2.3479496353659136e-05,4.149149172008038e-05
73,2.313119335228513e-05,4.044491717399194e-05
74,2.297967078228449e-05,4.001769863454432e-05
75,2.2446026559919118e-05,3.902218545433776e-05
76,2.253695615920527e-05,3.864937140766917e-05
77,2.233148592620574e-05,3.703414414334914e-05
78,2.158730660147708e-05,3.8120058236707904e-05
79,2.1555461390907393e-05,3.619694456072717e-05
80,2.110952206341357e-05,3.615748297808499e-05
81,2.113567536761021e-05,3.581246489594723e-05
82,2.1200541583500032e-05,3.5636693014410034e-05
83,2.0704753616632058e-05,3.5160176199058005e-05
84,2.035388787244928e-05,3.483289178332378e-05
85,2.0136863619474502e-05,3.322688380962816e-05
86,2.001489488536428e-05,3.3203406452104965e-05
87,1.9922788287031238e-05,3.313308035762146e-05
88,2.0004389406149758e-05,3.255469531848513e-05
89,1.9394974063696534e-05,3.112214055426162e-05
90,1.931283542693689e-05,3.1857736055450195e-05
91,1.8970741376537702e-05,3.1096229715080096e-05
92,1.9158662601920036e-05,3.0825590586353995e-05
93,1.8991048624417906e-05,3.0070972821578896e-05
94,1.866006581433888e-05,3.0047827849871125e-05
95,1.8521749559019146e-05,3.056803653980124e-05
96,1.852072510418707e-05,3.0142623642138365e-05
97,1.8324259797046925e-05,3.0376008262151273e-05
98,1.8141832973422674e-05,2.880002018706552e-05
99,1.7851326566446444e-05,2.8441733969696636e-05
100,1.8093582435414708e-05,2.8203746528717977e-05
101,1.753920183420695e-05,2.783167994870194e-05
102,1.7227748497228685e-05,2.810779702046822e-05
103,1.848312857528699e-05,2.7914859900443718e-05
104,1.719883354059581e-05,2.712916566765514e-05
105,1.675446963355202e-05,2.7229165626240187e-05
106,1.719454363598649e-05,2.7052122810534364e-05
107,1.725011589487308e-05,2.6895961692107136e-05
108,1.7027811203473086e-05,2.6546453190004004e-05
109,1.771130924241553e-05,2.6542810594727253e-05
110,1.6928598654038947e-05,2.5759956092926962e-05
111,1.6992049219472142e-05,2.526634469114501e-05
112,1.64103704295924e-05,2.5677194433479474e-05
113,1.651491640649479e-05,2.5209605469015137e-05
114,1.6337375212781902e-05,2.555474157220331e-05
115,1.672496176164212e-05,2.4898867283401818e-05
116,1.622269929643592e-05,2.392750506385647e-05
117,1.6125074009700067e-05,2.5440596750584142e-05
118,1.643722523646108e-05,2.4095269979844835e-05
119,1.6752601569068842e-05,2.38521458131486e-05
120,1.6409831306222697e-05,2.4925035039155648e-05
121,1.5610248123391948e-05,2.351620491465618e-05
122,1.5545831712219737e-05,2.340072011253957e-05
