Epoch,Train Loss,Validation Loss
1,0.007039498255170625,0.0030110560100654075
2,0.0032509489563004724,0.003670658273943539
3,0.0017923401347522078,0.004063672546682687
4,0.0010366189004532222,0.00354483425617218
5,0.0006482294214696719,0.002760268850573178
6,0.00044381933222556935,0.002270524768993772
7,0.00033831394695002455,0.0019937055635041202
8,0.0002817507688726844,0.0013780592073654307
9,0.0002467143815010786,0.000790619362017204
10,0.00022770705761323716,0.0005261087276298424
11,0.0002123644061643502,0.00044344285952633823
12,0.00020155831368575837,0.0004102745767811249
13,0.00019397818290724835,0.00038809796859478127
14,0.0001865421887487173,0.00037283463210895145
15,0.00017857914629938274,0.0003569694235920906
16,0.00017291710647786485,0.0003445302104127818
17,0.0001676504516267571,0.00033293793555991405
18,0.0001618035185825208,0.00032154539407327256
19,0.00015701580439405195,0.0003131368807677565
20,0.00015220392880768612,0.00030308687609845197
21,0.00014811971160615312,0.0002947755671780685
22,0.00014433533852470333,0.00028616403839711485
23,0.00014067583010885223,0.00027846191078424455
24,0.00013626291304184445,0.00026987627598232234
25,0.00013355746592298663,0.0002634501887549614
26,0.00013028935304489628,0.0002559028052050492
27,0.00012635950015151294,0.00024967123272603953
28,0.0001237031393523874,0.00024459511683932664
29,0.00012022645598084763,0.00023830421268939973
30,0.00011844738820118123,0.00023317834490845944
31,0.00011617525496744904,0.00022819429828689017
32,0.00011328771662223955,0.0002233351645027769
33,0.00011062145891503013,0.00021807306670937045
34,0.000109067318382962,0.0002146066038002228
35,0.00010615752463967635,0.0002093726126798268
36,0.00010346677876880457,0.00020541369208487971
37,0.00010156661416564522,0.00020044160814120852
38,0.00010071583895076965,0.00019766592324293894
39,9.880245518710079e-05,0.00019388071357690054
40,9.702518180911911e-05,0.00019064439011031182
41,9.517225934642142e-05,0.0001871619148757951
42,9.35260816637812e-05,0.00018468761238558539
43,9.138631345383053e-05,0.00018058729133215443
44,8.996720506071017e-05,0.00017746263665371928
45,8.800110683358949e-05,0.00017309279727010892
46,8.636783760297914e-05,0.00017139789937385198
47,8.47466209710672e-05,0.0001675122610196985
48,8.387792823386603e-05,0.00016606197339193575
49,8.331843298570862e-05,0.00016438496010056858
50,8.15823553772322e-05,0.00016013728454709054
51,8.090428349658333e-05,0.00015728286114232294
52,8.034070969784054e-05,0.00015666928656142334
53,7.871220466391794e-05,0.00015498951462836102
54,7.60208285445797e-05,0.000149363250439537
55,7.597130626953882e-05,0.00014861064545553307
56,7.440513642183665e-05,0.00014581935929841008
57,7.32149109886638e-05,0.00014398464098058897
58,7.354571275284579e-05,0.00014229650320164087
59,7.187018476041227e-05,0.00013993160863374842
60,7.014560577427518e-05,0.0001378192518163344
61,6.871222405983456e-05,0.0001346406189660574
62,6.81368618047443e-05,0.00013330796059092572
63,6.776918127233613e-05,0.00013245875015854836
64,6.580448083194165e-05,0.00012964108509236368
65,6.539550055910287e-05,0.000128854856151959
66,6.386185153226914e-05,0.0001265608047231518
67,6.529144814302182e-05,0.00012760735919763302
68,6.433810300097383e-05,0.00012458877734326083
69,6.294800731321346e-05,0.00012181728179084843
70,6.134148952069467e-05,0.00012018883054883315
71,6.141870900795891e-05,0.00011850607035488918
72,5.969633629288653e-05,0.0001173008040621363
73,5.825632332085535e-05,0.00011497305963059952
74,5.81614657080379e-05,0.00011488872997719667
75,5.747510104215351e-05,0.00011342220361633548
76,5.6676731990842984e-05,0.00011105972566995128
77,5.606280896684219e-05,0.00011012097178348179
78,5.630450724656212e-05,0.00010821240600840799
79,5.5129152465740154e-05,0.000107469923537353
80,5.507869605809964e-05,0.00010622465212283463
81,5.3573258879498164e-05,0.00010439766859956857
82,5.417154291002401e-05,0.00010397596573778268
83,5.2435437602729635e-05,0.00010287695853360768
84,5.259906977479314e-05,0.00010187548488892358
85,5.163712194189429e-05,0.00010047364369805517
86,5.159336342958027e-05,9.958325275059404e-05
87,5.045776688975507e-05,0.00010017347682652803
88,5.0763311747718476e-05,9.78681628174823e-05
89,5.0282644926859384e-05,9.725438752051057e-05
90,4.8348772066548984e-05,9.57592133561085e-05
91,4.7890375496755384e-05,9.54741981394332e-05
92,4.79260491656846e-05,9.36226967465261e-05
93,4.722830309564697e-05,9.198614299811165e-05
94,4.703496614920682e-05,9.143146011849929e-05
95,4.5871708124619104e-05,9.004582554615777e-05
96,4.6935904337542836e-05,9.20228933080517e-05
97,4.685064296013322e-05,9.267942594556973e-05
98,4.502146320160607e-05,8.785975294123436e-05
99,4.4229427545235075e-05,8.67663657870786e-05
100,4.400564076635858e-05,8.772590101279061e-05
101,4.366118669638346e-05,8.58490307140967e-05
102,4.3119258921721884e-05,8.378518937990583e-05
103,4.3327405904259145e-05,8.709994947602009e-05
104,4.352279617611704e-05,8.391810677431781e-05
105,4.26132749798226e-05,8.37936531752348e-05
106,4.2110343929380176e-05,8.280999508911166e-05
107,4.187500353196058e-05,8.138220693016875e-05
108,4.079961539085569e-05,8.107680377775225e-05
109,4.1133548727194814e-05,7.846208514067634e-05
110,4.071332152997111e-05,7.960315440492383e-05
111,3.985466981499359e-05,7.79750194914382e-05
112,3.9111148036117184e-05,7.74873532997123e-05
113,3.9191150652437375e-05,7.741329709774461e-05
114,3.877487997042722e-05,7.549312029933107e-05
115,3.889462677761912e-05,7.483909902130735e-05
116,3.852485478373951e-05,7.748722484142616e-05
117,3.841490974521329e-05,7.510232610692238e-05
118,3.803535404711448e-05,7.327009345693835e-05
119,3.75018077741923e-05,7.431959444335823e-05
120,3.797513521115841e-05,7.344487058962213e-05
121,3.686851926212167e-05,7.242845885198692e-05
122,3.6840081407592215e-05,7.068884141486267e-05
123,3.574095658379896e-05,6.970566665304119e-05
124,3.6335714835802026e-05,7.544508171749526e-05
125,3.5518476065119795e-05,6.997953490193548e-05
126,3.58383753336966e-05,6.906418450947465e-05
127,3.599720316585796e-05,7.01884393869289e-05
128,3.463395927422519e-05,7.049848148920413e-05
129,3.413396510134997e-05,6.721229533311622e-05
130,3.438105220617405e-05,6.63543842604448e-05
131,3.394236535251398e-05,6.569449725592959e-05
132,3.4212293745628716e-05,6.679083493634545e-05
133,3.3039976401126076e-05,6.455923109475908e-05
134,3.3020081022625857e-05,6.466363877828779e-05
135,3.270638548640599e-05,6.390288632748456e-05
136,3.252315660135756e-05,6.337400590037477e-05
137,3.231703524542009e-05,6.39801957355491e-05
138,3.312053901528747e-05,6.422614999886217e-05
139,3.2361261426182145e-05,6.423656636014067e-05
140,3.148224264993493e-05,6.122161666380948e-05
141,3.1488977477018686e-05,6.089121552890745e-05
142,3.10289382468909e-05,6.033392735467902e-05
143,3.0901980313376104e-05,6.118155534154382e-05
144,3.0200512365213244e-05,5.905603877557763e-05
145,3.0677756174178474e-05,6.055490691857091e-05
146,2.996400480383429e-05,5.867991211085484e-05
147,2.9839415520686527e-05,5.814128571414742e-05
148,3.0221403696863303e-05,6.0792122004104075e-05
149,3.0049631283779083e-05,5.7862741583637125e-05
150,3.015976439326488e-05,5.8090847370953395e-05
151,2.9174823129292705e-05,5.728345251931199e-05
152,2.9702158444079347e-05,6.11322506427251e-05
153,2.9327609407683386e-05,5.71325630078028e-05
154,2.8822373534584868e-05,5.606359818243775e-05
155,2.8754553380261722e-05,5.637620704184319e-05
156,2.8874334911334104e-05,5.5126246899880214e-05
157,2.799317288886884e-05,5.575072196922426e-05
158,2.801998273533737e-05,5.400103982537985e-05
159,2.777489255471476e-05,5.584781315049221e-05
160,2.8677791525641905e-05,5.468125374795034e-05
161,2.763739622454962e-05,5.437320756629623e-05
162,2.7628305994359585e-05,5.694479633379599e-05
163,2.7669375513455477e-05,5.6339615699032255e-05
164,2.70254982250004e-05,5.26911747673976e-05
165,2.7021541107638644e-05,5.2406597914623804e-05
166,2.6537241727306412e-05,5.2199833865823416e-05
167,2.6945892223638708e-05,5.3511734184776915e-05
168,2.6943243775067145e-05,5.3136037855312744e-05
169,2.755908865545844e-05,5.584459125610261e-05
170,2.6980653035871942e-05,5.3852354979206774e-05
171,2.6507532737892248e-05,5.164093594869663e-05
172,2.5880954164112436e-05,5.061981942633103e-05
173,2.6075387622454557e-05,5.217231328374353e-05
